치매안심센터명,시도,시군구,우편번호,주소1,주소2,도로명코드,법정동코드,행정동코드,위도,경도,홈페이지,전화번호,팩스번호,개소일
서울특별시동작구치매안심센터,서울특별시,동작구,07023,"서울 동작구 남부순환로 2025 (사당동, 동작구치매안심센터)",동작구치매안심센터,2000003,1159010700,1159062000,37.47643044,126.9736224,dongjak.nid.or.kr,02-598-6088,02-6280-6099,2018-12-31
서울특별시마포구치매안심센터,서울특별시,마포구,04123,서울 마포구 대흥로24길 50 (염리동),3층 치매안심센터,3113004,1144010900,1144059000,37.55463975,126.9487442,mapo.nid.or.kr,02-3272-1578,02-3272-1590,2018-04-04
서울특별시서대문구치매안심센터,서울특별시,서대문구,03653,"서울 서대문구 연희로 290 (홍은동, 서대문보건소별관우리들)",서대문구치매안심센터,3112019,1141011800,1141066000,37.58292926,126.9364454,seodaemun.nid.or.kr,02-379-0183,02-379-0104,2018-01-01
서울특별시서초구치매안심센터,서울특별시,서초구,06563,서울 서초구 방배중앙로 118 (방배동),3층,3121011,1165010100,1165066000,37.48985373,126.9877701,seocho.nid.or.kr,02-591-1833,02-6959-6988,2018-06-30
서울특별시성동구치매안심센터,서울특별시,성동구,04768,"서울 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사)",5층,4109323,1120011400,1120065000,37.54640255,127.0443497,seongdong.nid.or.kr,02-499-8071,02-499-8075,2018-01-01
서울특별시성북구치매안심센터,서울특별시,성북구,02751,"서울 성북구 화랑로 63 (하월곡동, 성북구보건소)",5층,3005046,1129013600,1129068500,37.60271066,127.0395333,seongbuk.nid.or.kr,02-918-2223,02-918-2216,2007-06-27
서울특별시송파구치매안심센터,서울특별시,송파구,05792,"서울 송파구 충민로 184 (장지동, 구립송파노인요양센터)",송파구 치매안심센터(1층),3123017,1171010900,1171064200,37.48579492,127.1343222,songpa.nid.or.kr,02-2147-5050,02-2147-3984,2018-04-01
서울특별시양천구치매안심센터,서울특별시,양천구,07921,서울 양천구 남부순환로 407 (신월동),"신월보건지소 3,4층",2000003,1147010300,1147056000,37.53133706,126.8318233,yangcheon.nid.or.kr,02-2698-8680,02-2698-8682,2018-01-01
서울특별시영등포구치매안심센터,서울특별시,영등포구,07261,서울 영등포구 당산로29길 9 (당산동3가),3층,4154107,1156011300,1156055000,37.52598149,126.8939756,yeongdeungpo.nid.or.kr,02-831-0855,,2018-01-01
서울특별시용산구치매안심센터,서울특별시,용산구,04390,"서울 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운)",보건소 지하2층,2005002,1117013000,1117065000,37.53245229,126.9904788,yongsan.nid.or.kr,02-790-1541,02-790-1544,2018-01-02
서울특별시은평구치매안심센터,서울특별시,은평구,03347,"서울 은평구 연서로34길 11 (불광동, 보건분소)",불광보건지소 1층,4133166,1138010300,1138052000,37.62156247,126.9276913,eunpyeong.nid.or.kr,02-388-8233,02-388-8235,2018-12-19
서울특별시종로구치매안심센터,서울특별시,종로구,03011,"서울 종로구 평창문화로 50 (평창동, 종로구치매안심센터)",종로구치매안심센터,3100023,1111018300,1111056000,37.60542184,126.9669251,jongno.nid.or.kr,02-3675-9001,02-3675-9007,2019-12-31
서울특별시중구치매안심센터,서울특별시,중구,04579,"서울 중구 퇴계로 460 (신당동, 중구종합복지센터)",11층,3101011,1114016200,1114061500,37.56509826,127.0227631,junggu.nid.or.kr,02-2238-3400,02-2238-5995,2019-12-31
서울특별시중랑구치매안심센터,서울특별시,중랑구,02076,"서울 중랑구 봉화산로 190 (신내동, 중랑구청 제2청사)",6층,3106003,1126010600,1126052000,37.60625232,127.0941678,jungnang.nid.or.kr,02-435-7540,02-435-7547,2018-01-01
부산광역시강서구치매안심센터,부산광역시,강서구,46706,"부산 강서구 낙동북로102번길 76 (강동동, 강동보건지소)",2층 치매안심센터,4208163,2644010300,2644053000,35.2162043,128.937671,bsgangseo.nid.or.kr,051-970-2600,051-970-4799,2018-11-15
부산광역시금정구치매안심센터,부산광역시,금정구,46274,"부산 금정구 중앙대로 1777 (부곡동, 금정구청)",금정구청 별관4층 치매안심센터,2000010,2641010900,2641057000,35.24205404,129.0924545,bsgj.nid.or.kr,051-519-5678,,2018-06-20
부산광역시기장군치매안심센터,부산광역시,기장군,46014,"부산 기장군 정관읍 용수로 11 (용수리, 정관보건지소)",정관보건지소,2006018,2671025000,2671025000,35.32519724,129.1793766,gijang.nid.or.kr,051-709-2984,051-727-0322,2018-11-05
부산광역시남구치매안심센터,부산광역시,남구,48452,"부산 남구 못골로 23 (대연동, 남구보건소)",남구보건소 3층,3131008,2629010600,2629051000,35.13606784,129.0849507,bsnamgu.nid.or.kr,051-607-3781,051-607-3789,2025-06-16
부산광역시동구치매안심센터,부산광역시,동구,48782,"부산 동구 구청로 14 (수정동, 동구보훈회관)",5~6층,3127003,2617010200,2617056000,35.1283296,129.0450647,bsdonggu.nid.or.kr,051-440-6441,,2018-03-21
부산광역시동래구치매안심센터,부산광역시,동래구,47741,"부산 동래구 명륜로187번길 56 (명륜동, 동래구보건소)",4층 치매안심센터,4190113,2626010700,2626054500,35.21141256,129.0798533,dongnae.nid.or.kr,051-550-6767,051-550-6749,2018-06-22
부산광역시부산진구치매안심센터,부산광역시,부산진구,47104,부산 부산진구 새싹로 253 (초읍동),부산진구 치매안심센터,4187803,2623010400,2623052000,35.17870907,129.04755,busanjin.nid.or.kr,051-605-6107,051-605-5999,2018-12-28
부산광역시북구치매안심센터,부산광역시,북구,46575,"부산 북구 덕천로 123 (덕천동, 덕천3동공영주차장)",행복키움센터 4층 치매안심센터,2132001,2632010400,2632054100,35.2105403,129.0181319,bsbukgu.nid.or.kr,051-309-5281,051-309-5299,2019-08-27
부산광역시사상구치매안심센터,부산광역시,사상구,46985,"부산 사상구 학감대로 242 (감전동, 사상구청)",사상구 보건소 2층,2006017,2653010500,2653064500,35.15255072,128.9914561,sasang.nid.or.kr,051-310-4853,051-310-4799,2019-07-15
부산광역시사하구치매안심센터,부산광역시,사하구,49347,부산 사하구 까치고개로 50-10 (실버힐링센터 2-3층),실버힐링센터,4202500,2638010400,2638057100,35.10448398,129.0063462,saha.nid.or.kr,051-220-5971~5,051-202-5720,2019-05-14
부산광역시서구치매안심센터,부산광역시,서구,49252,부산 서구 구덕로 127 (토성동5가),서구가족센터 4층,3126008,2614011800,2614059000,35.09633258,129.022058,bsseogu.nid.or.kr,051-240-4912,051-240-4799,2019-09-30
부산광역시수영구치매안심센터,부산광역시,수영구,48247,"부산 수영구 수영로 637-5 (광안동, 수영구 보건소)","별관, 수영구치매안심센터",3131037,2650010400,2650076000,35.1624774,129.1134882,suyeong.nid.or.kr,051-610-4901,,2018-12-19
부산광역시연제구치매안심센터,부산광역시,연제구,47600,부산 연제구 중앙대로1038번길 40 (연산동),시청앞 행복주택 204동(연제구 건강관리센터) 3~4층,4211348,2647010200,2647065000,35.17925419,129.0784461,yeonje.nid.or.kr,051-665-5460,051-665-5439,2018-11-29
부산광역시영도구치매안심센터,부산광역시,영도구,49011,"부산 영도구 태종로 423 (청학동, 영도구청)",영도구 보건소 신관 1층,3006003,2620012000,2620063000,35.09121745,129.0679105,yeongdo.nid.or.kr,051-419-4954,,2018-12-18
부산광역시중구치매안심센터,부산광역시,중구,48962,부산 중구 흑교로 48 (보수동1가),중구복합건강센터 2층,3125015,2611012000,2611054500,35.10377395,129.0253563,bsjunggu.nid.or.kr,051-600-4688,,2019-03-06
부산광역시해운대구치매안심센터,부산광역시,해운대구,48104,"부산 해운대구 양운로37번길 59 (좌동, 해운대구보건소)","2관 치매안심센터 3층,4층",4199125,2635010700,2635055100,35.1641127,129.1786594,haeundae.nid.or.kr,051-749-0770,051-749-7589,2019-05-16
대구광역시남구치매안심센터,대구광역시,남구,42424,"대구 남구 영선길 34 (대명동, 남구 보건소)",5층 치매안심센터,2007001,2720010300,2720056000,35.85389994,128.5915237,namdaegu.nid.or.kr,053-664-6300,053-664-3709,2019-06-11
대구광역시달서구치매안심센터,대구광역시,달서구,42674,"대구 달서구 와룡로 106(본리동, 달서구 치매안심센터)",달서구치매안심센터,4241433,2729011400,2729059000,35.842085,128.5376247,dalseo.nid.or.kr,053-667-5771,053-667-5779,2019-05-20
대구광역시달성군치매안심센터,대구광역시,달성군,43004,대구 달성군 현풍읍 현풍중앙로 27 (하리),달성군보건소 5층 달성군치매안심센터,4244304,2771026524,2771026200,35.69200624,128.4462105,dalseong.nid.or.kr,053-668-3841,053-282-8141,2019-04-24
대구광역시동구치매안심센터,대구광역시,동구,41143,"대구 동구 동촌로 79 (검사동, 동구보건소)",4층 치매안심센터,3142010,2714011000,2714061500,35.88812209,128.6512166,dongdaegu.nid.or.kr,053-662-3175,053-662-3199,2018-12-20
대구광역시북구치매안심센터,대구광역시,북구,41550,"대구 북구 성북로 49 (침산동, 북구보건소)",5층,3145032,2723010600,2723055000,35.891715,128.588813,bukdaegu.nid.or.kr,053-665-3135,053-665-3279,2019-07-04
대구광역시서구치매안심센터,대구광역시,서구,41735,대구 서구 북비산로71길 7 (비산동),서구치매안심센터,3007001,2717010200,2717062000,35.88016148,128.5723999,dgs.nid.or.kr,053-663-3811,053-663-3819,2019-05-16
대구광역시수성구치매안심센터,대구광역시,수성구,42152,"대구 수성구 수성로 213 (중동, 수성구보건소)",별관 2~3층,3146017,2726010800,2726061000,35.84495927,128.6119385,suseong.nid.or.kr,053-666-3181,053-666-4898,2019-03-28
대구광역시중구치매안심센터,대구광역시,중구,41901,"대구 중구 태평로 45 (태평로3가, 중구보건소)",3층 중구치매안심센터,4223117,2711013000,2711057500,35.87790606,128.5833355,dgjunggu.nid.or.kr,053-661-3911,053-661-3139,2018-01-23
대구광역시군위군치매안심센터,대구광역시,군위군,43120,"대구 군위군 군위읍 군청로 70 (동부리, 군위군보건소)",2층 치매안심센터,3314001,2772025000,4772025000,36.22952003,128.5698713,gunwi.nid.or.kr,054-380-7491,054-380-6757,2019-12-23
인천광역시강화군치매안심센터,인천광역시,강화군,23037,인천 강화군 강화읍 충렬사로 26-1 (남산리),강화군보건소 내,3157037,2871025000,2871025000,37.7372942,126.4848586,ganghwa.nid.or.kr,032-930-4057,032-930-3642,2018-12-28
인천광역시계양구치매안심센터,인천광역시,계양구,21068,"인천 계양구 계양문화로 63 (계산동, 계양구보건소)",계양구 보건소 4층,3155002,2824510200,2824561100,37.53642762,126.7362452,gyeyang.nid.or.kr,032-430-7867,032-547-9226,2017-12-01
인천광역시미추홀구치매안심센터,인천광역시,미추홀구,22169,인천 미추홀구 경인로34번길 20 (숭의동),5층 미추홀구치매안심센터,3151034,2817710100,2817751000,37.46303566,126.6472695,michuhol.nid.or.kr,032-728-6520,,2018-11-30
인천광역시남동구치매안심센터,인천광역시,남동구,21589,"인천 남동구 소래로 633 (만수동, 남동구청)",남동구 보건소 3층,3153045,2820010300,2820056000,37.44738839,126.7306774,namdong.nid.or.kr,032-453-5910,,2019-01-24
인천광역시동구치매안심센터,인천광역시,동구,22532,인천 동구 방축로 193 (송림동),동구치매안심센터,3150009,2814010700,2814051000,37.4798949,126.6665634,icdonggu.nid.or.kr,032-772-6307,032-760-4949,2018-12-21
인천광역시부평구치매안심센터,인천광역시,부평구,21359,"인천 부평구 주부토로 65 (부평동, 부평4동 행정복지센터)","6층, 7층 부평구치매안심센터",3008034,2823710100,2823751000,37.50084167,126.7249748,icbp.nid.or.kr,032-509-1308,032-509-1309,2019-09-27
인천광역시서구치매안심센터,인천광역시,서구,22731,"인천 서구 봉오재3로94번길 11 (가정동, MK타워)5층",서구치매안심센터,3156051,2826010700,2826053000,37.52682819,126.6704561,seoincheon.nid.or.kr,032-718-0630,032-718-0798,2019-12-18
인천광역시연수구치매안심센터,인천광역시,연수구,21907,인천 연수구 예술로20번길 15 (선학동),연수구치매안심센터,3008022,2620012000,2620063000,37.43578309,126.6996474,yeonsu.nid.or.kr,1899-9080,032-749-8939,2017-12-08
인천광역시옹진군치매안심센터,인천광역시,옹진군,22193,"인천 미추홀구 매소홀로 120 (용현동, 옹진군청)",옹진군보건소 3층,3149061,2817710200,2817754000,37.44657047,126.6367454,ongjin.nid.or.kr,032-721-0520,032-899-3149,2017-12-01
인천광역시중구치매안심센터,인천광역시,중구,22309,"인천 중구 참외전로72번길 21 (전동, 중구보건소)",4층 중구치매안심센터,4247382,2811013700,2811058500,37.47721729,126.6291077,icjg.nid.or.kr,032-760-6060,,2018-11-23
광주광역시광산구치매안심센터,광주광역시,광산구,62430,광주광역시 광산구 용아로379번길 77(산정동 1033),광산구치매안심센터,4289022,2920010100,2920051500,35.17615122,126.8002346,gwangsan.nid.or.kr,062-960-6930,062-960-3738,2019-12-05
광주광역시남구치매안심센터,광주광역시,남구,61744,광주 남구 효우로 80 (노대동),남구 치매안심센터,3161009,2915510700,2915553700,35.10631349,126.9035759,gjnamgu.nid.or.kr,062-607-4369,062-675-2041,2020-02-24
광주광역시동구치매안심센터,광주광역시,동구,61468,"광주 동구 서남로 14 (서석동, 서남동주민센터)",7층,3159007,2911011800,2911065500,35.14495096,126.923163,gjdonggu.nid.or.kr,062-608-3490,062-608-3499,2018-09-12
광주광역시북구치매안심센터,광주광역시,북구,61217,광주광역시 북구 북문대로 234(동림동),북구치매안심센터 2층,3162056,2917010100,2917051000,35.18696695,126.8668768,gjbukgu.nid.or.kr,062-410-8124,062-510-1447,2019-09-06
광주광역시서구치매안심센터,광주광역시,서구,61990,광주 서구 상무대로884번길 17-20 (쌍촌동),,4280311,2914011800,2914074000,35.14885739,126.860335,gjseogu.nid.or.kr,062-350-4759,062-371-0093,2017-12-01
대전광역시대덕구치매안심센터,대전광역시,대덕구,34406,"대전 대덕구 동춘당로 187 (법동, 법2동행정복지센터)",3층,3168013,3023010800,3023056000,36.36720767,127.4308386,daedeok.nid.or.kr,042-608-5426,042-608-3851,2018-07-20
대전광역시동구치매안심센터,대전광역시,동구,34563,대전 동구 현암로 22 (삼성동),"2, 3층",3164008,3011010500,3011053000,36.34298696,127.4204617,djdonggu.nid.or.kr,042-621-6011,042-625-6077,2018-04-10
대전광역시서구치매안심센터,대전광역시,서구,35203,"대전 서구 만년로 74 (만년동, 대전서구보건소)",서구보건소 5층(치매안심센터),3166025,3017012800,3017065000,36.36708849,127.3810998,djseogu.nid.or.kr,042-288-4470,042-288-5934,2018-04-24
대전광역시유성구치매안심센터,대전광역시,유성구,34174,대전 유성구 박산로 177 (구암동),유성구보건소 2층,2167001,3020011200,3020054000,36.35381247,127.3286409,yuseong.nid.or.kr,042-611-5018,042-611-5110,2018-05-31
대전광역시중구치매안심센터,대전광역시,중구,34939,"대전 중구 중앙로 100 (대흥동, 중구청 제3별관 1층)",중구치매안심센터,3164033,3014010500,3014057500,36.32557502,127.4212953,djjunggu.nid.or.kr,042-288-8180,042-288-8981,2018-08-20
울산광역시남구치매안심센터,울산광역시,남구,44698,"울산 남구 삼산중로 132 (삼산동, 울산남구보건소)",남구보건소 별관 치매안심센터,3170027,3114010600,3114057000,35.54535764,129.3363283,ulsannamgu.nid.or.kr,052-226-2323,052-226-3227,2019-04-30
울산광역시동구치매안심센터,울산광역시,동구,44021,"울산 동구 봉수로 155 (화정동, 동구청)",보건소 1층 치매안심센터,3171011,3117010200,3117053000,35.5050746,129.4164426,ulsandonggu.nid.or.kr,052-209-4060,052-209-4079,2018-08-01
울산광역시북구치매안심센터,울산광역시,북구,44248,"울산 북구 산업로 1018 (연암동, 보건소)","지하1층, 지상1,2층 치매안심센터",3000104,3120012200,3120056000,35.58355486,129.3607106,ulsanbukgu.nid.or.kr,052-241-8257,052-241-8109,2018-10-18
울산광역시울주군치매안심센터,울산광역시,울주,44965,울산 울주군 웅촌면 은현작동로 49 (검단리),울주군 치매안심센터,4319545,3171026500,3171026500,35.45690394,129.1768249,ulju.nid.or.kr,052-204-2878,052-204-2879,2018-05-30
울산광역시중구치매안심센터,울산광역시,중구,44495,"울산 중구 외솔큰길 225 (남외동, 중구보건소)",2층,4307363,3111011500,3111062000,35.56945595,129.3504156,ulsanjunggu.nid.or.kr,052-290-4366,052-290-4389,2018-10-24
세종특별자치시치매안심센터,세종특별자치시,세종시,30029,"세종특별자치시 조치원읍 대첩로 32 (신흥리, 세종특별자치시보건소)",별관2층 치매안심센터,4574018,3611025029,3611025000,36.59626916,127.2928906,sejongansim.nid.or.kr,044-301-2311~2318,044-301-2319,2019-06-03
경기도가평군치매안심센터,경기도,가평군,12413,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소)",가평군보건소,3000142,4182025000,4182025000,37.83350281,127.510601,gp.nid.or.kr,031-580-2849,031-580-2559,2018-12-26
경기도고양시덕양구치매안심센터,경기도,고양시 덕양구,10498,경기 고양시 덕양구 은빛로 72 (화정동),내일 꿈 제작소 B동 3층,3192059,4128112300,4128151000,37.63718564,126.8361898,deogyang.nid.or.kr,031-8075-4800,,2018-07-20
경기도고양시일산동구치매안심센터,경기도,고양시 일산동구,10421,경기 고양시 일산동구 중앙로 1100 (백석동),별관 2층 치매안심센터,3192094,4128510600,4128556000,37.64707633,126.7834627,ilsandonggu.nid.or.kr,031-8075-4850,031-8075-4886,2018-04-25
경기도고양시일산서구치매안심센터,경기도,고양시 일산서구,10340,"경기 고양시 일산서구 일중로 54 (일산동, 일산서구보건소)",일산서구보건소 2층 치매안심센터,3194020,4128710100,4128751000,37.68447523,126.7757855,goyangiss.nid.or.kr,031-8075-4871,031-976-2043,2018-05-23
경기도과천시치매안심센터,경기도,과천시,13806,"경기 과천시 관문로 69 (중앙동, 과천시청)",과천시보건소 별관1층,3195003,4129010700,4129051000,37.43022157,126.9867975,ghc.nid.or.kr,02-2150-3574,02-2150-1542,2020-09-11
경기도광명시치매안심센터,경기도,광명시,14322,"경기 광명시 소하로 196 (소하동, 광명노인건강센터)",3층 치매안심센터,3187036,4121010400,4121063100,37.44656741,126.894916,gm.nid.or.kr,02-2680-5830,,2018-07-24
경기도광주시치매안심센터,경기도,광주시,12736,"경기 광주시 초월읍 경충대로 1009-40 (쌍동리, 동부건강센터)",2층,2012002,4161025322,4161051000,37.36884855,127.3027557,gjcity.nid.or.kr,031-762-8756,031-760-1454,2018-11-15
경기도구리시치매안심센터,경기도,구리시,11922,"경기 구리시 건원대로34번길 84 (인창동, 구리보건소)",4층(구리시 치매안심센터),2196001,4131010300,4131052000,37.60473625,127.1450794,guri.nid.or.kr,031-550-8642,031-550-2700,2019-03-18
경기도군포시치매안심센터,경기도,군포시,15865,"경기 군포시 산본로 329 (산본동, 경원빌딩)",8층,3200016,4141010400,4141054000,37.36002061,126.9330897,gunpo.nid.or.kr,031-389-4988,031-427-5629,2018-05-15
경기도김포시치매안심센터,경기도,김포시,10097,"경기 김포시 사우중로73번길 52 (북변동, 래미안 프라자)",4층,3209060,4157010100,4157054000,37.62308177,126.7211346,gimpo.nid.or.kr,031-5186-4170,031-981-8983,2018-05-30
경기도남양주시치매안심센터,경기도,남양주시,12284,"경기 남양주시 경춘로 522 (다산동, 남양주시청제2청사)",남양주보건소 2층,3000120,4136011200,4136054500,37.61024303,127.1719612,nyj.nid.or.kr,031-590-8700,031-590-8129,2018-03-15
경기도남양주시풍양치매안심센터,경기도,남양주시 풍양,12009,"경기 남양주시 진접읍 금강로 1509-26 (장현리, 진접읍사무소)",진접오남행정복지센터 복지동 2층,3000121,4136025321,4136025300,37.72632836,127.189863,nyjpungyang.nid.or.kr,031-590-8381,031-590-6999,2018-07-30
경기도동두천시치매안심센터,경기도,동두천시,11344,경기 동두천시 거북마루로 49 (생연동),동두천시 보건소 별관 1층,3189031,4125010300,4125051000,37.89626429,127.0516304,ddc.nid.or.kr,031-860-3395,,2019-12-19
경기도부천시원미치매안심센터,경기도,부천시 원미구,14555,"경기 부천시 원미구 길주로 410 (춘의동, 치매안심센터)",부천시치매안심센터,3000065,4119210300,4119060600,37.50365381,126.7880109,bucheon.nid.or.kr,032-625-9840,032-625-9859,2019-12-23
경기도성남시분당구치매안심센터,경기도,성남시 분당구,13607,"경기도 성남시 분당구 내정로94 (정자동, 한솔마을 주공7단지 아파트) 711동 1층",분당구치매안심센터,3180042,4113510700,4113561000,37.3673875,127.1155094,bdseongnam.nid.or.kr,031-729-8783,031-729-4569,2018-08-01
경기도성남시수정구치매안심센터,경기도,성남시 수정구,13346,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",3층 수정구치매안심센터,3178018,4113110100,4113151000,37.44432902,127.1440618,shseongnam.nid.or.kr,031-729-3879,031-729-8676,2018-07-02
경기도성남시중원구치매안심센터,경기도,성남시 중원구,13200,"경기 성남시 중원구 금상로 137 (상대원동, 노인보건센터, 중원구보건소)",노인보건센터 4층 치매안심센터,3179006,4113310500,4113357000,37.44215625,127.1705808,jhseongnam.nid.or.kr,031-739-3030,031-739-3904,2017-12-26
경기도수원시권선구치매안심센터,경기도,수원시 권선구,16626,"경기 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소)",권선구보건소 1층,3175048,4111313300,4111356000,37.2587428,126.9711297,gwonseon.nid.or.kr,031-5191-0425,031-369-2124,2019-07-16
경기도수원시영통구치매안심센터,경기도,수원시 영통구,16703,"경기 수원시 영통구 영통로 396 (영통동, 영통구보건소)","영통구치매안심센터 3층, 5층",3177018,4111710500,4111757000,37.2568828,127.0697108,yeongtong.nid.or.kr,031-5191-0824,031-5191-8818,2018-01-01
경기도수원시장안구치매안심센터,경기도,수원시 장안구,16295,"경기 수원시 장안구 송원로 101 (조원동, 장안보건소)","1층 치매안심센터,2층치매안심센터",3174005,4111113600,4111159700,37.30409473,127.0104007,jangan.nid.or.kr,031-5191-0230,031-369-2502,2018-10-12
경기도수원시팔달구치매안심센터,경기도,수원시 팔달구,16463,"경기 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소)",2층 치매안심센터,3176016,4111513200,4111565000,37.27149964,127.0125182,paldal.nid.or.kr,031-5191-0630,031-369-4542,2019-06-26
경기도시흥시치매안심센터,경기도,시흥시,14978,경기도 시흥시 호현로 55 (대야동) 시흥보건소 5층,시흥시치매안심센터,3185023,4139010100,4139051000,37.44553633,126.7853141,sh.nid.or.kr,031-310-6065,031-380-5364,2017-09-28
경기도안산시단원구치매안심센터,경기도,안산시 단원구,15396,"경기도 안산시 단원구 화랑로 250, 단원보건소 3층",(초지동),3190069,4127110300,4127152500,37.32106776,126.8152629,danwon.nid.or.kr,031-481-6541,031-481-2565,2018-03-28
경기도안산시상록구치매안심센터,경기도,안산시 상록구,15585,"경기 안산시 상록구 차돌배기로1길 5 (사동, 상록수보건소)",상록수보건소 3층,4370468,4127110300,4127152500,37.30026456,126.8450634,sangroksoo.nid.or.kr,031-481-5848,031-481-3783,2018-05-15
경기도안성시치매안심센터,경기도,안성시,17596,"경기 안성시 강변로74번길 18 (도기동, 안성시보건소)",1층 치매안심센터,4424027,4155012400,4155052000,37.00016961,127.2698131,anseong.nid.or.kr,031-678-3002,031-678-5919,2018-12-21
경기도안양시동안구치매안심센터,경기도,안양시 동안구,13939,경기 안양시 동안구 관악대로 375 (관양동),동안치매안심센터,4349204,4117310200,4117351000,37.40479042,126.9645299,dongan.nid.or.kr,031-8045-6801,031-8045-6577,2018-01-01
경기도안양시만안구치매안심센터,경기도,안양시 만안구,14035,"경기 안양시 만안구 문예로 48 (안양동, 만안구보건소)",6층 치매안심센터,3182005,4117110100,4117151000,37.38584733,126.9329445,manan.nid.or.kr,031-8045-3150,031-8045-6575,2019-04-08
경기도양주시치매안심센터,경기도,양주시,11451,경기 양주시 화합로1426번길 90 (덕정동),양주체육복지센터 5층,3206116,4163010300,4163051000,37.83814181,127.068036,yangju.nid.or.kr,031-8082-7147,0505-041-1961,2019-05-15
경기도양평군치매안심센터,경기도,양평군,12550,"경기 양평군 양평읍 중앙로111번길 34-21 (공흥리, 양평군 치매안심센터 및 정신건강복지센터)",1층 양평군치매안심센터,3217044,4183025000,4183025000,37.49662351,127.5051583,yangpyeong.nid.or.kr,031-771-5773,031-770-2848,2018-12-01
경기도여주시치매안심센터,경기도,여주시,12628,경기 여주시 여흥로160번길 12 (상동),치매안심센터(1층),4442323,4167010100,4167051000,37.29477832,127.6399084,yeoju.nid.or.kr,031-887-3685,031-887-3610,2018-01-02
경기도연천군치매안심센터,경기도,연천군,11027,"경기 연천군 전곡읍 은대성로 95 (은대리, 연천군보건의료원)",4층 치매안심센터,3215035,4180025300,4180025300,38.02353355,127.0609624,yeoncheon.nid.or.kr,031-839-4083,031-839-4169,2018-07-27
경기도오산시치매안심센터,경기도,오산시,18135,"경기 오산시 경기대로 307 (오산동, 중앙동행정복지센터)",3층 치매안심센터,2012013,4137010100,4137051000,37.15235202,127.0732064,osan.nid.or.kr,031-8036-6611,031-8036-8924,2018-07-02
