연번,의료기관명,요양종별,관계 행정기관,근거 법령,설립형태,응급지정,허가병상수,주소,홈페이지,대표전화,FAX
69,근로복지공단 경기요양병원,요양병원,고용노동부,산업재해보상보험법,공립(기타),,127,경기도 화성시 우정읍 쌍봉로 465-4,www.comwel.or.kr/gyeonggi,031-351-3083,031-351-3083
70,경기도립노인전문 평택병원,요양병원,경기도,경기도립노인전문병원 설치 및 운영 조례,공립(시도립),,210,경기도 평택시 삼남로 312 (도일동),goodmsilver.co.kr,031-669-9977,031-669-9988
71,경기도립정신병원,정신병원,경기도,경기도립정신병원 설치 및 운영에 관한 조례,공립(시도립),,50,"경기도 용인시 기흥구 중부대로 940, 새로운경기도립정신병원 (상하동)",https://www.mentalhospital.or.kr/,031-300-6200,031-300-6230
72,안산시립노인전문병원,요양병원,경기도,안산시립 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,213,경기도 안산시 상록구 차돌배기로 24 (사동),http://www.bumomam.or.kr,031-8040-5114,031-8040-5114
73,부천시립노인전문병원,요양병원,경기도,부천시 노인전문병원 및 노인복지시설 설치·운영에 관한 조례,공립(시군구립),,233,경기도 부천시 까치로 26 (작동),www.bucheonh.com,032-713-7300,032-713-7300
74,고양정신병원,정신병원,서울특별시,서울특별시 시립병원 설치 및 운영에 관한조례,공립(시군구립),,274,경기도 고양시 덕양구 통일로1102번길 46 (내유동),http://www.kymhosp.com/,031-969-0885,031-969-0885
75,강원특별자치도삼척의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,148,"강원특별자치도 삼척시 오십천로 418-0 (남양동,삼척의료원)",https://www.ksmc.or.kr/,033-572-1141,033-573-8425
76,강원특별자치도영월의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,188,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),https://www.youngwol.org/,033-370-9149,033-370-9137
77,강원특별자치도원주의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,268,"강원특별자치도 원주시 서원대로 387 (개운동, (개운동))",https://www.kwmc.or.kr/,033-760-4500,033-761-5121
78,강원특별자치도속초의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,152,"강원특별자치도 속초시 영랑호반길 3 (영랑동, (영랑동))",http://www.sokchomc.co.kr,033-630-6000,033-630-6004
79,강원특별자치도강릉의료원,종합병원,강원특별자치도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,155,"강원특별자치도 강릉시 경강로 2007-  (남문동,2007)",http://www.gnmc.or.kr,033-610-1200,033-610-1415
80,강원대학교병원,종합병원,교육부,국립대학병원 설치법,공립(기타),지역응급의료센터,632,"강원특별자치도 춘천시 백령로 156-  (효자동,(효자동))",http://www.knuh.or.kr,033-258-2000,033-258-2000
81,근로복지공단 태백병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,247,"강원특별자치도 태백시 보드미길 8-  (장성동, (장성동))",www.comwel.or.kr/taebaek,033-580-3114,033-580-3114
82,근로복지공단 동해병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,247,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",www.comwel.or.kr/donghae,033-530-3100,033-530-3100
83,국군춘천병원,병원,국방부,국군조직법,군병원,,152,"강원특별자치도 춘천시 방고개길 57-  (신동,57)",https://demis.mil.kr/afmc/,033-244-0130,1688-9166
84,국군홍천병원,병원,국방부,국군조직법,군병원,,84,강원특별자치도 홍천군 두촌면 아홉사리로 53-  (53),https://demis.mil.kr/afmc/,033-435-0473,1688-9167
85,국군강릉병원,병원,국방부,국군조직법,군병원,,97,강원특별자치도 강릉시 주문진읍 동해대로 4371-34 (4371),https://demis.mil.kr/afmc/,033-662-7802,1688-9165
86,강원특별자치도재활병원,병원,강원특별자치도,장애인복지법,공립(시도립),,148,"강원특별자치도 춘천시 충열로142번길 24-16 (우두동, (우두동))",https://www.grh.or.kr/main/main.asp,033-248-7700,033-248-7723
87,근로복지공단 정선병원,병원,고용노동부,산업재해보상보험법,공립(기타),지역응급의료기관,149,강원특별자치도 정선군 정선읍 봉양1길 145-0 ( ),www.comwel.or.kr/jeongseon,033-560-7110,033-560-7100
88,정선군립병원,병원,강원특별자치도,정선군 군립 의료기관 설치 및 운영에 관한 조례,재단법인,,30,강원특별자치도 정선군 사북읍 지장천로 727-  ( ),https://www.jeongseonmc.com/,033-592-3121,033-592-3125
89,춘천시노인전문병원,요양병원,강원특별자치도,춘천시 노인 전문병원 설치 및 운영 조례,공립(시도립),,166,강원특별자치도 춘천시 동면 세실로 252,http://www.ccsilverh.com/,033-240-7500,033-240-7500
90,강원특별자치도립 강릉요양병원,요양병원,강원특별자치도,강원특별자치도립강릉요양병원 설치 및 운영 조례,공립(시도립),,125,"강원특별자치도 강릉시 경강로 2009-0 (남문동,강원특별자치도립강릉요양병원)",http://www.gnmch.or.kr,033-640-8800,033-640-8825
91,근로복지공단 태백요양병원,요양병원,고용노동부,산업재해보상보험법,공립(기타),,55,"강원특별자치도 태백시 보드미길 8-0 (장성동, 4층 (장성동,근로복지공단태백요양병원))",https://www.comwel.or.kr/taebaekyoyang/,033-580-3700,033-580-3777
92,국립춘천병원,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,153,강원특별자치도 춘천시 동산면 영서로 824-  (824),www.cnmh.go.kr,033-260-3000,033-260-3000
93,강릉원주대학교치과병원,치과병원,교육부,국립대학치과병원 설치법,국립,,15,"강원특별자치도 강릉시 죽헌길 7-  (지변동, (지변동))",https://www.gwnudh.or.kr,033-640-3114,033-640-3114
94,충청북도 청주의료원,종합병원,충청북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,489,"충청북도 청주시 서원구 흥덕로 48-0 (사직동,청주의료원)",http://www.cjmc.or.kr,043-279-2300,043-279-0114
95,충청북도 충주의료원,종합병원,충청북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,294,"충청북도 충주시 안림로 239-50 (안림동,충청북도충주의료원)",www.cjmct.or.kr,043-871-0114,043-871-0114
96,충북대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,776,"충청북도 청주시 서원구 1순환로 776-0 (개신동,충북대학교병원)",https://www.cbnuh.or.kr,043-269-6114,1533-0075
97,공군항공우주의료원,병원,국방부,국군조직법,군병원,,50,충청북도 청주시 상당구 남일면 단재로 635-0,,043-290-5647,043-290-5420
98,충주위담통합병원,병원,충청북도,충주시 통합의학센터 설립 및 운영 조례,공립(시군구립),,134,충청북도 충주시 수안보면 수안보로 129-0,https://m.cjweedahm.com/,043-846-2220,
99,충주시노인전문병원,요양병원,충청북도,충주시노인전문병원 설치와 운영 조례,공립(시군구립),,285,충청북도 충주시 동량면 충원대로 1398-0 (충주시노인전문병원),https://cjh.radiantgrace.org/,043-855-9393,043-855-9393
100,충북도립노인전문병원,요양병원,충청북도,충북도립노인전문병원 설치 및 운영 조례,공립(시도립),,133,"충청북도 청주시 서원구 청남로 1910-0 (미평동,충북도립노인전문병원)",https://www.xn--o80bo7bc7hmsbp4cb4a0z5blhb99ay26a.kr/,043-287-7715,043-298-9011
101,단양군립노인요양병원,요양병원,충청북도,단양군립노인요양병원 설치 및 운영 조례,공립(시군구립),,98,충청북도 단양군 단양읍 별곡6길 10-0 (단양군노인요양전문병원),http://dymh.co.kr/,043-423-8844,043-423-8844
102,청풍호노인사랑병원,요양병원,충청북도,제천시 청풍호 노인사랑병원 설치 및 운영조례,공립(시군구립),,177,충청북도 제천시 금성면 청풍호로 1147-0,www.cplove.co.kr,043-646-0808,043-646-0808
103,영동군립노인전문병원,요양병원,충청북도,영동군립 노인전문병원 설치 및 운영 조례,공립(시군구립),,120,충청북도 영동군 영동읍 대학로 290,www.cmisilver.co.kr,043-744-9633,043-744-9633
104,청주시립요양병원,요양병원,충청북도,청주시립요양병원 설치 및 운영에 관한 조례,공립(시군구립),,197,"충청북도 청주시 서원구 궁뜰로62번길 29-0 (장성동,청주시노인전문병원)",https://blog.naver.com/cjsl0601,043-220-8000,043-220-8000
105,충청북도청주의료원부설한의원,한의원,충청북도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),,4,"충청북도 청주시 서원구 흥덕로 48 (사직동, 청주의료원)",https://www.cjmc.or.kr/intro.php,043-279-2665,
106,충남대학교병원,상급종합병원,교육부,국립대학병원 설치법,공립(기타),권역응급의료센터,1187,"대전광역시 중구 문화로 282 (대사동,(대사동))",www.cnuh.co.kr,042-1599-7123,1599-7123
107,충청남도 홍성의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,349,충청남도 홍성군 홍성읍 조양로 224,https://www.hsmc.or.kr/,041-630-6114,041-630-6114
108,충청남도 공주의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,275,"충청남도 공주시 무령로 77 (웅진동, (웅진동))",http://gjmc.or.kr,041-962-1111,041-962-1111
109,충청남도 천안의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료기관,293,충청남도 천안시 동남구 충절로 537 (삼룡동),http://www.camc.or.kr,041-570-7200,041-570-7114
110,충청남도 서산의료원,종합병원,충청남도,지방의료원의 설립 및 운영에 관한 법률,공립(지방의료원),지역응급의료센터,278,충청남도 서산시 중앙로 149 (석림동),https://seosanmc.or.kr/,041-689-7000,041-689-7000
111,대전보훈병원,종합병원,국가보훈부,한국보훈복지의료공단법,특수법인,지역응급의료기관,387,"대전광역시 대덕구 대청로82번길 147 (신탄진동,147)",http://daejeon.bohun.or.kr,042-939-0111,042-939-0114
112,근로복지공단 대전병원,종합병원,고용노동부,산업재해보상보험법,공립(기타),,230,"대전광역시 대덕구 계족로 637 (법동, (법동))",www.comwel.or.kr/daejeon,042-670-5419,042-670-5114
113,세종충남대학교병원,종합병원,교육부,국립대학병원 설치법,특수법인,지역응급의료센터,408,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",cnush.co.kr,1800-3114,1800-3114
114,국군대전병원,병원,국방부,국군조직법,군병원,,446,"대전광역시 유성구 자운로 90-0 (자운동, (자운동))",https://demis.mil.kr/afmc/,042-1688-9152,1688-9152
115,대전세종충남·넥슨후원 공공어린이재활병원,병원,대전광역시,대전충남권 공공 어린이 재활병원 설치 및 운영 조례,공립(시도립),,50,"대전광역시 서구 도안중로 133-0 (관저동,대전세종충남넥슨후원공공어린이재활병원)",https://www.dpcrh.or.kr/,042-330-2180,
116,국립공주병원,정신병원,보건복지부,보건복지부와 그 소속기관 직제,국립,,100,"충청남도 공주시 고분티로 623-21 (오곡동, 국립공주병원)",http://www.knmh.go.kr/,041-850-5700,041-850-5700
117,대전광역시립제1노인전문병원,요양병원,대전광역시,대전광역시 노인전문병원설치 및 운영조례,공립(시도립),,290,"대전광역시 유성구 유성대로 1422 (방현동,1422)",http://www.ilovenoin.com,042-280-5000,042-280-5000
118,논산시립노인전문병원,요양병원,충청남도,논산시립노인전문병원 설치 및 운영조례,공립(시군구립),,116,충청남도 논산시 시민로294번길 11 (취암동),http://nshosp.co.kr/,041-734-9911,041-734-9911
119,서천군립노인요양병원,요양병원,충청남도,서천군 서천어메니티 복지마을 운영조례,공립(시군구립),,197,충청남도 서천군 종천면 충서로302번길 88-12,http://www.scbokjitown.or.kr/,041-950-1001,041-950-1001
120,보령시립노인전문병원,요양병원,충청남도,보령시립 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,160,충청남도 보령시 청라면 질재로 373 (보령시립노인전문병원),http://www.brnoin.com/,041-935-1166,041-935-1166
121,대전광역시립제2노인전문병원,요양병원,대전광역시,대전광역시 노인전문병원설치 및 운영조례,공립(시도립),,163,"대전광역시 동구 산내로 300 (하소동, (하소동))",http://www.cmisilverdaejeon.com/,042-272-9633,042-272-9633
122,천안시립노인전문병원,요양병원,충청남도,천안시립 노인전문병원 설치 및 운영에 관한 조례,공립(시군구립),,144,충청남도 천안시 동남구 목천읍 삼방로 735 (천안시립노인전문병원),http://www.cheonangh.co.kr/,041-521-1114,041-521-1114
123,국립법무병원,정신병원,법무부,법무부와 그 소속기관 직제,국립,,1200,충청남도 공주시 반포면 반포초교길 253 (공주치료감호소),www.cppb.go.kr,041-840-5400,041-840-5400
