시도,시군구,시설유형,법인,시설명,주소,전화,종사자정원,종사자현원
부산,북구,복지관,부산시각장애인복지연합회,부산광역시시각장애인복지관,부산광역시 북구 시랑로132번길 38,051-338-0017,30,30
부산,북구,복지관,부산광역시 북구장애인협회,북구장애인종합복지관,부산광역시 북구 금곡대로 616번길 145,051-362-7755,21,21
부산,사상구,복지관,주는사랑복지재단,사상구장애인복지관,부산광역시 사상구 모라로192번길 21,051-302-5533,26,25
부산,사하구,복지관,부산광역시 사하구장애인협회,사하구장애인종합복지관,부산광역시 사하구 사하로68번길 65(구평동),051-262-2461,26,26
부산,서구,복지관,부산광역시 서구장애인협회,서구장애인복지관,부산광역시 서구 보수대로154번길 36(동대신동1가),051-242-3930,22,22
부산,수영구,복지관,청전,수영구장애인복지관,부산광역시 수영구 장대골로 75-14(광안동) ,051-717-0290,21,22
부산,연제구,복지관,내원,부산광역시장애인종합복지관,부산광역시 연제구 중앙대로 1150번길 15,051-790-6100,45,83
부산,영도구,복지관,대한예수교장로회총회 고려학원,영도구장애인복지관,부산광역시 영도구 함지로 79번길 6(동삼동),051-403-6060,21,21
부산,해운대구,복지관,대한성공회유지재단,해운대구장애인복지관,부산광역시 해운대구 선수촌로 207번길 81(반여동),051-521-5200,21,36
대구,달서구,복지관,대구시지체장애인협회,대구광역시달구벌종합복지관,대구광역시 달서구 달구벌대로291길 100(용산동),053-527-0223,37,55
대구,달서구,복지관,대구광역시시각장애인연합회,대구시각장애인복지관,대구광역시 달서구 달구벌대로291길 100(용산동),053-526-9988,23,21
대구,달서구,복지관,한국농아인협회,대구광역시청각언어장애인복지관,대구광역시 달서구 달구벌대로 291길 100(용산동),053-527-0350,22,22
대구,달성군,복지관,한국지체장애인협회 대구달성군지회,달성군장애인복지관,대구광역시 달성군 논공읍 논공로 242,053-616-0260,29,32
대구,북구,복지관,상록뇌성마비복지회,상록뇌성마비복지관,대구광역시 북구 연암로42길 77 (산격동),053-382-0960,20,20
대구,수성구,복지관,국제라이온스협회356-A(대구)지구,대구장애인종합복지관,대구광역시 수성구 파동로51길 26-17,053-763-1011,35,35
인천,강화군,복지관,대한불교조계종사회복지재단,강화군장애인복지관,인천광역시 강화군 충렬사로 63,032-934-8464,25,28
인천,계양구,복지관,노틀담수녀회,노틀담복지관,인천광역시 계양구 계양산로 35번길 12-37(계산2동 40번지),032-540-8904,36,36
인천,남동구,복지관,사회복지법인 인천가톨릭사회복지회,남동장애인종합복지관,인천광역시 남동구 인주대로 898(만수동),032-472-4005,39,47
인천,동구,복지관,한원복지재단,동구한마음종합복지관,인천광역시 동구 만석로 53,032-724-9501,29,27
인천,미추홀구,복지관,사)인천광역시시각장애인복지연합회,인천광역시시각장애인복지관,인천광역시 미추홀구 한나루로 357번길 105-19,032-876-3500,29,29
인천,미추홀구,복지관,대한성공회유지재단,미추홀장애인종합복지관,인천광역시 미추홀구 경원대로 714,032-426-1382,28,27
인천,부평구,복지관,송암복지재단,부평장애인종합복지관,인천광역시 부평구 일신로 25,032-512-9200,34,34
인천,서구,복지관,기독교대한감리회 사회복지재단,인천광역시서구장애인종합복지관,인천광역시 서구 드림로 284-8(백석동),032-569-1240,28,28
인천,연수구,복지관,한울정신건강복지재단,인천장애인종합복지관,인천광역시 연수구 앵고개로 130,032-833-3051,52,52
인천,중구,복지관,사회복지법인 미선,인천광역시중구 장애인종합복지관,인천광역시 중구 매소홀로 10 (신흥동3가),032-880-2400,28,28
인천,중구,복지관,사회복지법인 미선,인천광역시중구 장애인종합복지관 영종분관,"인천광역시 중구 영종해안북로 1000-26, 2층(하늘문화센터 복지동) ",032-752-2433,8,8
광주,동구,복지관,은성복지회,동구장애인복지관,백서로 198번길 7(서석동),062-229-9700,35,35
광주,서구,복지관,세석밀알,광주광역시서구장애인복지관,광주광역시 서구 상무대로 1032,062-710-3020,25,24
광주,남구,복지관,다솜복지회,광주광역시남구장애인복지관,광주광역시 남구 월산로 33,062-611-1900,34,25
광주,남구,복지관,광주광역시시각장애인연합회,광주광역시시각장애인복지관,광주광역시 남구 천변좌로 382번길 6,062-415-9500,25,25
광주,북구,복지관,광주광역시장애인종합지원센터,광주광역시장애인종합복지관,광주광역시 북구 북문대로219,062-513-0977,41,79
광주,북구,복지관,무지개공동회,엠마우스복지관,광주광역시 북구 북문대로 20번길 38,062-524-7701,39,39
광주,광산구,복지관,광산구청,광산구장애인복지관,광주광역시 광산구 무진대로 276,062-943-0420,25,25
대전,동구,복지관,사회복지법인 밀알,밀알복지관,대전광역시 동구 우암로 48 (삼성동),042-627-0900,39,39
대전,동구,복지관,한국지체장애인협회,동구아름다운복지관,대전광역시 동구 안골로 49 (구도동),042-282-9600,31,33
대전,동구,복지관,한국농아인협회,대전광역시립손소리복지관,대전광역시 동구 대전천동로508(원동85-5),042-345-9900,23,23
대전,중구,복지관,대전광역시시각장애인연합회,대전광역시립산성종합복지관,대전광역시 중구 유등천동로 232(산성동),042-586-8033,39,39
대전,서구,복지관,사회복지법인 기독교연합봉사회,행복한우리복지관,대전광역시 서구 계백로 1093-32,042-331-1155,51,51
대전,유성구,복지관,한국지체장애인협회,유성구장애인종합복지관,대전광역시 유성구 북유성대로 166,042-820-3637,46,59
대전,유성구,복지관,사회복지법인성재원,대전광역시립장애인종합복지관,대전광역시 유성구 유성대로 298번길 175용계동),042-540-3500,32,32
대전,대덕구,복지관,대전가톨릭사회복지회,대덕구장애인종합복지관,대전광역시 대덕구 신탄진로 77 (연축동),042-637-8848,26,26
울산,중구,복지관,로사리오카리타스,울산광역시장애인종합복지관,울산광역시 중구 백양로 160,052-242-1778,48,66
울산,남구,복지관,울산광역시시각장애인복지연합회,울산광역시시각장애인복지관,울산광역시 남구 돋질로 114번길 3(달동),052-256-5244,24,30
울산,동구,복지관,사회복지법인 로사리오카리타스,울산광역시동구장애인복지관,울산광역시 동구 방어진순환도로 1273-1(서부동),052-710-5991,22,22
울산,북구,복지관,어울림복지재단,울산광역시 북구 장애인복지관,울산광역시 북구 호계로 29-5(창평동),052-298-0420,22,22
울산,울주군,복지관,울주군시설관리공단,울주군장애인복지관,울산광역시 울주군 삼남읍 중평1길 15,052-229-9440,27,27
세종,세종시,복지관,세종충남가톨릭사회복지회,세종시장애인복지관,세종시장애인복지관 조치원읍 평안로 11(본관),044-865-3325,33,33
세종,세종시,복지관,세종충남가톨릭사회복지회,세종시장애인복지관,"세종시 새롬로 14, 1층(분관)",044-865-3325,,
경기,수원시,복지관,수원중앙복지재단,수원시장애인종합복지관,경기도 수원시 영통구 창룡대로 255,031-207-1501,50,48
경기,수원시,복지관,천주교수원교구사회복지회,호매실장애인종합복지관,경기도 수원시 권선구 호매실로 211(호매실동),031-893-2100,53,53
경기,용인시,복지관,한국지체장애인협회,용인시처인장애인복지관,경기도 용인시 처인구 경안천로 318(고림동),031-320-4800,48,48
경기,용인시,복지관,사회복지법인 양지바른,용인시기흥장애애인복지관,경기도 용인시 기흥구 용구대로2469번길 94(보정동),031-895-3200,49,49
경기,용인시,복지관,사회복지법인 지구촌사회복지재단,용인시수지장애인복지관,"경기도 용인시 수지구 포은대로435, 3,4층(풍덕천동)",031-270-0200,40,40
경기,고양시,복지관,홀트아동복지회,고양시장애인종합복지관,경기도 고양시 일산서구 탄현로 139,031-929-1400,38,41
경기,성남시,복지관,한국지체장애인협회,성남시장애인종합복지관,경기도 성남시 중원구 사기막골로 150번길 20,031-733-3322,44,42
경기,성남시,복지관,밀알복지재단,한마음복지관,경기도 성남시 분당구 야탑로 227,031-725-9500,89,88
경기,화성시,복지관,사회복지법인 대한불교조계종,화성시아르딤복지관,경기도 화성시 향남읍 도이1길 104,031-5183-8900,40,51
경기,화성시,복지관,지구촌사회복지재단,화성시동탄아르딤복지관,경기도 화성시 동탄대로10길 17-12,031-8077-0800,43,46
경기,부천시,복지관,사회복지법인 인천가톨릭사회복지회,부천시장애인종합복지관,경기도 부천시 역곡로 367,032-670-1100,19,59
경기,남양주시,복지관,재단법인 대한성공회 유지재단,남양주시장애인복지관,경기도 남양주시 홍유릉로 273-1,031-592-7150,37,36
경기,남양주시,복지관,사회복지법인 대한불교조계종사회복지재단,남양주시북부장애인복지관,경기도 남양주시 진접읍 경복대로 507-1,031-574-2668,40,40
경기,안산시,복지관,사회복지법인 밀알복지재단,안산시장애인복지관,경기도 안산시 단원구 원초로 80,031-403-0078,49,49
경기,안산시,복지관,동산복지재단,안산시상록장애인복지관,경기도 안산시 차돌배기로 24-2,031-409-0000,44,44
경기,평택시,복지관,에바다복지회,에바다장애인종합복지관,경기도 평택시 노와길 447,031-692-2362,27,23
경기,평택시,복지관,평택복지재단,평택북부장애인복지관,"경기도 평택시 서정로 295,2층",031-615-3975,30,30
경기,안양시,복지관,사단법인 성민원,안양시관악장애인종합복지관,경기도 안양시 만안구 경수대로 1132 (안양동),031-427-7774,52,52
경기,안양시,복지관,사회복지법인 돕는사람들,안양시수리장애인종합복지관,경기도 안양시 만안구 냉천로 39 (안양동),031-465-0950,65,65
경기,시흥시,복지관,사회복지법인 룸비니,시흥장애인종합복지관,경기도 시흥시 정왕대로 233번길 27-1,031-431-9114,27,37
경기,김포시,복지관,사회복지법인 인천가톨릭사회복지회,김포시장애인복지관,경기도 김포시 김포한강3로 291,031-997-3646,32,31
경기,파주시,복지관,주내자육원,파주시장애인종합복지관,경기도 파주시 술이홀로1333번길 63,031-959-7020,32,32
경기,의정부시,복지관,한국지체장애인협회,의정부시장애인종합복지관,경기도 의정부시 용민로 160(민락동),031-850-5320,37,37
경기,광명시,복지관,(재)성모성심수도회,광명장애인종합복지관,경기도 광명시 목감로 120(광명동),02-2616-3700,36,42
경기,하남시,복지관,한국장로교복지재단,하남시장애인복지관,경기도 하남시 미사강변남로 56,031-794-2266,49,49
경기,군포시,복지관, 사랑의손길,군포시장애인종합복지관,경기도 군포시 청백리길 18,031-396-3108,38,46
경기,오산시,복지관,세교복지재단,오산장애인종합복지관,"경기도 오산시 수청로 192, 2층",031-290-8560,23,23
경기,오산시,복지관,오산대학교 산학협력단,오산시하나울복지센터,경기도 오산시 서녘말길 21,031-8043-5909,20,18
경기,양주시,복지관,경기도시각장애인연합회,경기도시각장애인복지관,경기도 양주시 고삼로43번길 28 2층,031-856-5300,26,26
경기,양주시,복지관,휴먼복지회,양주시장애인종합복지관,경기도 양주시 고삼로 43번길 29(삼숭동),031-928-4096,27,39
경기,이천시,복지관,사회복지법인 승가원,이천시장애인종합복지관,경기도 이천시 석동로 3 (신둔면 지석리),031-637-6720,46,41
경기,구리시,복지관,사회복지법인 휴먼복지회,구리시장애인종합사회복지관,경기도 구리시 이문안로 86-1,031-562-0068,36,35
경기,안성시,복지관,한길복지재단,안성시장애인복지관,경기도 안성시 배티로 1097,031-673-0556,23,21
경기,의왕시,복지관,대한불교조계종사회복지재단,희망나래장애인복지관,경기도 의왕시 오전로 27,031-467-7300,41,41
경기,양평군,복지관,대한불교조계종사회복지재단,양평군장애인복지관,경기도 양평군 양평읍 중앙로111번길 36-1,031-773-9080,35,35
경기,여주시,복지관,대한불교조계종 사회복지재단,여주시장애인복지관,경기도 여주시 청심로 105,031-883-2100,35,30
경기,동두천시,복지관,한국장로교복지재단,동두천시장애인종합복지관,경기도 동두천시 상패로 64,031-867-0080,35,35
경기,과천시,복지관,푸르메재단,과천시장애인복지관,경기도 과천시 문원로 40,02-2185-8000,43,43
경기,가평군,복지관,가평군복지재단,가평군장애인복지관,경기도 가평군 가평읍 석봉로 191번길 65-19,031-581-9785,20,26
강원,춘천시,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관,강원특별자치도 춘천시 사우로 27,033-255-2491,50,50
강원,춘천시,복지관,천주교춘천교구사회복지회,춘천시장애인종합복지관,강원특별자치도 춘천시 영서로 1925-21,033-262-0035,38,37
강원,원주시,복지관,마가렛사회복지회,원주시장애인종합복지관,강원특별자치도 원주시 동부순환로 9-8,033-766-5990,27,27
강원,원주시,복지관,사회복지법인 원주가톨릭사회복지회,양업토마스장애인종합복지관,강원특별자치도 원주시 개륜1길 59,033-744-1821,27,27
강원,강릉시,복지관,(사)한국교통장애인협회,강릉시장애인종합복지관,강원특별자치도 강릉시 사천면 방동길 68,033-643-1801,27,30
강원,태백시,복지관,홍이회,태백장애인종합복지관,강원특별자치도 태백시 금천길 179-9,033-582-7048,25,20
강원,속초시,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관 속초분관,강원특별자치도 속초시 청초호반로 201 속초시근로자종합복지관 1층,033-636-2491,7,7
강원,홍천군,복지관, 대한불교조계종 사회복지재단,홍천군장애인복지관,강원특별자치도 홍천군 홍천읍 태학여내길 80-7,033-435-7031,24,25
강원,횡성군,복지관,횡성군사회복지협의회,횡성군장애인종합복지관,강원특별자치도 횡성군 횡성읍 한우로 223,033-345-7341,20,22
강원,평창군,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관 평창분관,"강원특별자치도 평창군 평창읍 종부로61, 평창군사회복지센터 1층",033-333-4993,8,8
강원,철원군,복지관,사회복지법인 기독교대한감리회 사회복지재단,강원특별자치도장애인종합복지관 철원분관,"강원특별자치도 철원군 서면 와수로 136번길 5, 서면복지회관 1층 ",033-458-8493,5,5
충북,충주시,복지관,숭덕원,충청북도장애인종합복지관,충북 충주시 도장관주로 34-17,043-856-1100,38,38
충북,청주시,복지관,천주교청주교구사회복지회,청주시장애인종합복지관,충북 청주시 흥덕구 무심서로 851,043-275-7411,32,32
충북,청주시,복지관,천주교청주교구사회복지회,혜원장애인종합복지관,충북 청주시 서원구 남지로21번길 60,043-295-2505,35,35
충북,제천시,복지관,대한불교조계종사회복지재단,제천장애인종합복지관,충북 제천시 의림대로242,043-652-0900,23,23
충북,보은군,복지관,재단법인청주교구천주교회유지재단,보은군노인장애인복지관,충북 보은군 보은읍 뱃들4길 11-10,043-544-5446,20,20
충북,옥천군,복지관,사회복지법인 전석복지재단,옥천군장애인복지관,충청북도 옥천군 옥천읍 삼양로8길 9,043-733-2500,25,25
충북,영동군,복지관,사)한국지체장애인협회,영동군장애인복지관,충북 영동군 영동읍 반곡동길 17,043-743-1500,20,23
충북,증평군,복지관,증평복지재단,증평군장애인복지관 ,충북 증평군 증평읍 보건복지로 56-1,043-835-4288,20,20
충북,진천군,복지관,한국지체장애인협회,진천군 장애인복지관,충북 진천군 진천읍 문화6안길 14-14,043-534-4455,22,24
충북,괴산군,복지관,한국지체장애인협회,괴산군장애인복지관,충청북도 괴산군 괴산읍 동진천길 61,043-832-0862,21,21
충북,음성군,복지관,대한성공회유지재단,음성군장애인복지관,충청북도 음성군 금왕읍 무극로309번길 43-6,043-883-2900,29,29
충북,단양군,복지관,대한불교 천태종복지재단,단양장애인복지관,충북 단양군 단양읍 별곡5길5,043-420-6300,19,19
충남,공주시,복지관,(사)한국지체장애인협회 충남협회,남부장애인종합복지관,충남 공주시 영규대사로 747,041-856-7071,34,26
충남,공주시,복지관,세종충남가톨릭사회복지회,공주시 장애인종합복지관,충남 공주시 의당로 23,041-856-0099,28,28
충남,금산군,복지관,지자체,금산군 장애인복지관,충남 금산군 금산읍 금산로 1559,041-750-2182,20,0
충남,논산시,복지관,대전가톨릭사회복지회,논산시사람꽃복지관,충남 논산시 계백로1546번길 38,041-734-1010,30,30
충남,당진시,복지관,당진시복지재단,당진시 장애인종합복지관,충남 당진시 시청1로 38,041-360-3040,29,29
충남,보령시,복지관,사회복지법인 보령학사,서부장애인종합복지관,충남 보령시 주교면 보령북로 404,041-934-7230,34,38
충남,부여군,복지관,사회복지법인 부여성심원,부여군 장애인종합복지관,충남 부여군 규암면 흥수로 816,041-836-2157,24,30
충남,서산시,복지관,(사)한국지체장애인협회 충남협회 서산시지회,서산시 장애인종합복지관,충남 서산시 호수공원13로 9,041-668-4744,21,27
충남,서천군,복지관,대전교구천주교회유지재단,서천군 장애인종합복지관,충남 서천군 종천면 충서로302번길 88-8,041-950-1253,20,24
충남,아산시,복지관,한국지체장애인협회,아산시 장애인복지관,충남 아산시 곡교천로27번길 12,041-545-7727,40,40
충남,예산군,복지관,예산군장애인연합회,예산군 장애인종합복지관,충남 예산군 신암면 추사고택로 496,041-330-9000,27,27
충남,천안시,복지관,충청남도시각장애인연합회,시각장애인복지관,충청남도 천안시 동남구 충절로 535-13,041-413-7000,32,32
충남,천안시,복지관,대한성공회유지재단,천안시 장애인종합복지관,충남 천안시 서북구 두정고 2길 51,041-551-0420,31,31
충남,천안시,복지관,대한성공회유지재단,천안시 누리별장애인종합복지관,충남 천안시 동남구 천안대로 359,041-564-7942,39,39
충남,청양군,복지관,사회복지법인 보령학사,서부장애인종합복지관 청양분관,충남 청양군 청양읍 월촌길 38,041-944-1397,6,5
충남,태안군,복지관,한국지체장애인협회,태안군 장애인복지관,충남 태안군 태안읍 군청6길 30,041-674-7412,21,21
충남,홍성군,복지관,(사)한국지체장애인협회 충남협회 홍성군지회,홍성군 장애인종합복지관,충남 홍성군 홍성읍 조양로 33번길 17,041-634-0267,28,28
전북,전주시,복지관,사회복지법인 동암,전북특별자치도장애인복지관,전북특별자치도 전주시 완산구 천잠로 277,063-222-9999,36,36
전북,고창군,복지관,(사)한두레장애인자립생활협회,고창군장애인복지관,전북특별자치도 고창군 고창읍 전봉준로 88-9,063-562-3777,19,19
전북,군산시,복지관,전주가톨릭사회복지회,군산장애인종합복지관,전북특별자치도 군산시 칠성안3길 37,063-466-7981,29,34
전북,김제시,복지관,김제제일복지재단,김제시장애인종합복지관,전북특별자치도 김제시 갈공길 28,063-542-9500,40,40
전북,남원시,복지관,한기장복지재단법인,남원시장애인종합복지관,전북특별자치도 남원시 닭뫼안길 87,063-635-1544,27,27
전북,무주군,복지관,삼동회,무주장애인종합복지관,전북특별자치도 무주군 무주읍 한풍루로 425,063-322-1252,20,20
전북,부안군,복지관,한기장복지재단,부안장애인종합복지관,전북특별자치도 부안군 부안읍 용암로 134,063-580-7600,20,23
전북,순창군,복지관,사단법인 한국지체장애인협회,순창군장애인복지관,전북특별자치도 순창군 순창읍 교성로 141-8,063-653-9395,10,10
전북,완주군,복지관,나누는사람들,완주군장애인복지관,전북특별자치도 완주군 봉동읍 낙평장기로 22,063-261-7801,19,19
전북,익산시,복지관,사회복지법인중도원,익산시장애인종합복지관,전북특별자치도 익산시 인북로 21,063-837-7300,33,33
전북,장수군,복지관,사단법인 나누는사람들,장수군장애인복지관,전북특별자치도 장수군 장수읍 노하3길16,063-353-8286,19,16
전북,전주시,복지관,중도원,전주장애인종합복지관,전북특별자치도 전주시 완산구 백제대로 20-41,063-229-0062,23,23
전북,정읍시,복지관, 지자체,정읍시장애인복지관,전북특별자치도 정읍시 수성1로 58,063-539-6677,25,22
전북,진안군,복지관,반월복지재단,진안군장애인종합복지관,전북특별자치도 진안군 진안읍 진무로 1189-1,063-432-8871,19,19
전남,강진군,복지관,한국지체장애인협회,강진군장애인종합복지관,전남 강진군 강진읍 탐진로 37-7,061-433-8862,22,20
전남,고흥군,복지관,전라남도장애인단체총연합회,고흥군장애인종합복지관,전남 고흥군 고흥읍 신계학림길 41,061-901-6701,19,19
전남,광양시,복지관,삼동회,광양시 광양장애인복지관,전남 광양시 광양읍 대림오성로 117,061-761-4438,31,31
전남,광양시,복지관,삼동회,광양시 중마장애인복지관,전남 광양시 중마로 525,061-795-0420,40,40
전남,구례군,복지관,재단법인 대한예수교장로회순천노회유지재단,구례군장애인복지관,전남 구례군 구례읍 동편제길 30,061-783-7605,20,20
전남,나주시,복지관,사단법인 선인사회복지회,전라남도장애인종합복지관,전라남도 나주시 내영산 1길 67,061-332-4105,29,26
전남,담양군,복지관,개인,혜림종합복지관,전라남도 담양군 금성면 새덕굴길317,061-380-4548,36,36
전남,목포시,복지관,한국지체장애인협회,목포시장애인종합복지관,전남 목포시 하당로205번길 12,061-285-2811,26,26
전남,목포시,복지관,성골롬반복지재단,명도복지관,전남 목포시 산정로 199번길 25,061-279-4879,25,25
전남,무안군,복지관,대송의료재단,무안군장애인종합복지관,전남 무안군 무안읍 공항로 148-18,061-454-4560,20,20
전남,보성군,복지관,전남밀알복지재단,보성군장애인복지관,전라남도 보성군 보성읍 현충로 186,061-852-3091,20,18
전남,순천시,복지관,(사)한국YWCA연합회후원회순천YWCA,순천시장애인종합복지관,전남 순천시 청소년수련원길 2,061-755-4450,30,30
전남,여수시,복지관,은현,여수시장애인종합복지관,전남 여수시 만성로 173번지 가동,061-652-5005,32,25
전남,영암군,복지관,영암군,영암군장애인종합복지관,전라남도 영암군 오리정길 37,061-470-6741,15,15
전남,완도군,복지관,(사)전라남도장애인단체총연합회,완도군장애인복지관,전라남도 완도군 노두목길 30,061-555-5115,14,14
